"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"I583","-13.99508","  9.544162500","  0.9332600"," 1.25203228","-1.614475687","-2.331973495"," 1.049064383","-0.757809094","-1.14477341"," 1.237519288","-1.906793941","-1.799902530"," 1.110717594","-1.075033314","-1.09621216","-0.864497681"," 0.877421179"," 0.970056198","-0.280702877","  1.221995588","-0.4631037640","-0.897576988","-0.183915075","-0.091733196"," -0.42211196"," 0.399661077"," 0.088426996"," 1.106913509","-1.417799941"," 1.388839323","-0.69541047"," 1.37697833","-1.59660690"," 0.37314854"," 0.725010238"," 0.446753633","-0.177165148"," 0.2281659081"," 0.48616772","-0.64810915"," 0.85770782","-0.3113250677"," 1.325754302","-0.343756631"," 0.97035300","-0.203029281","-1.040847515","-1.103638067","-0.0488730022","-0.355821670"," 0.016241109"," 1.1312643287"," 0.218110612"," 1.355718051","-0.83336381"," 1.69957237","-1.213402575","-1.470727235","-0.70608493"," 0.58971641"
"I603"," 12.83921"," -2.702864845"," -0.9746835"," 1.76253439"," 3.570571488","-2.083143561","-0.681313565","-0.955343063","-0.70713368"," 1.401174230","-2.560449729","-1.596261661","-0.994247631"," 1.173811438","-1.30973413","-0.964597668"," 3.237064648","-1.075708884"," 0.287580307","  2.817854403","-1.0211385467"," 1.566233892","-2.144647547","-1.293011601","  0.41603638"," 0.533397917"," 0.088346452","-1.454391028"," 0.495459553","-0.378296968"," 0.00997609"," 0.71227187","-2.31772078"," 2.19514348"," 0.917205323"," 0.364378683"," 1.234132630","-1.0120651485","-0.65907596"," 0.42655587","-1.71042084","-1.5392522977"," 0.585341691"," 1.333033054"," 0.56471387"," 1.795793071"," 0.157371553","-1.413935858","-0.4507580426"," 0.114864488"," 0.717559157","-0.6757776393","-0.344906601"," 0.936993017","-0.12973653","-1.08024467","-0.390734094"," 0.125202698","-3.58692121","-0.52099325"
"I592","-14.95543"," -3.952168667"," -1.4505059"," 3.22605275"," 4.234669386"," 0.228119943"," 3.241091148","-2.958686781"," 1.66277446"," 0.428580726","-1.802731593","-1.642127939"," 0.810378106"," 0.076829563"," 0.29235734","-2.187782442","-0.787591250","-0.297624744"," 0.238214036","  0.041682995"," 0.9238019155"," 0.069622881"," 0.722968464","-1.586454998","  0.01337749","-0.493585437","-0.020645248","-0.465765815"," 1.308749737","-0.059943900","-0.64022124"," 0.33354748","-1.06192580","-1.39314240","-1.070513900","-0.435463714","-1.302075509"," 0.3678577853","-0.54582804"," 0.32061682","-0.77948071"," 0.5128459890","-0.794531568"," 1.469150879"," 0.58647257","-0.118164590","-1.271135242"," 0.735595722","-1.4926632982","-0.662182954","-1.209017688","-0.1151435719","-0.951332082"," 0.331559493","-0.97587245"," 0.20977302","-0.134872040","-1.460661234","-1.56990597"," 0.88938957"
"I365","-14.56642"," -2.530320359"," -8.7314485","-0.14260498"," 0.643949029","-2.103993361","-2.235230479","-1.949032502"," 0.03824767","-1.957624733"," 0.883818475","-1.749074178"," 0.374722603","-0.123999264","-0.73129629","-0.042308238","-1.063757831"," 0.544444048"," 0.266193364","  0.296878351"," 0.0175836712","-1.640326325","-0.234950016"," 0.691859846","  0.39079947"," 0.415991018"," 0.255428374"," 1.241912601"," 0.674124945","-1.025477357"," 0.39338404"," 2.12758034","-0.37478238"," 1.06135014"," 0.710335623"," 1.269217276"," 0.389192657","-0.6840733323"," 0.30854141","-0.76210534","-0.01350990"," 1.1321381410","-0.281914997","-0.034496118","-0.69063625","-1.167525913"," 0.651256831"," 1.081690596","-1.8635546063","-0.450029637","-1.488318615"," 1.0298553592"," 0.341552668","-0.999132307"," 0.37603798"," 1.00618833"," 0.253009904","-1.445923801"," 1.08384559","-0.72192252"
"I212","-13.96451","  2.685124272","  1.3948447","-3.68578215","-2.987250949"," 4.042383060"," 1.142899733","-3.553411215"," 0.32990542"," 1.417546128"," 0.614719431"," 1.913221271","-2.537108151","-0.636171522"," 0.77774994"," 0.065186231"," 0.855049884"," 2.712717146"," 0.439462105"," -2.697687975","-0.3560794358"," 1.693476225"," 1.326149924"," 0.103907485"," -0.38016467"," 0.341721419"," 1.529179264","-0.525959437","-0.801592027","-2.411172537"," 0.51904800","-0.81246775"," 2.82039630","-1.55342477","-1.913970162","-0.386689961","-2.946540936"," 0.1162472516"," 2.22578171","-1.64081085"," 3.45674849"," 0.8271694211"," 5.406644170","-0.472084486"," 1.57442227","-0.087915253"," 2.101735443","-1.128806484","-2.9052606597","-0.829230597"," 0.060975645","-1.5824654580","-3.714725374","-0.986335912","-1.66324404","-0.15759182"," 2.110384965"," 1.083703382","-0.72040089"," 4.05954948"
"I213"," 14.86355","  5.352356470"," -4.8794940","-2.38307511","-3.348864169"," 0.376767977"," 3.007441357"," 3.399102017","-4.10029011","-0.235154668"," 2.310760226","-0.832202374"," 0.386755397"," 1.120280936"," 1.21864492","-0.150683528"," 0.111474329"," 2.081570459","-0.961752700"," -0.462131741","-1.1461294898"," 1.760876717"," 0.195345117","-0.743774842","  0.81414710","-1.761431375","-2.957490621","-0.990761616"," 1.499345221","-0.723287950","-0.32087272","-1.27207736"," 1.09683703"," 0.93235550"," 1.479786798"," 2.468207932"," 1.851450685"," 0.0516243116"," 1.28772306"," 0.53425277"," 2.16385607"," 0.0105379866"," 1.098375263","-1.167569987"," 3.20000124"," 1.018056696","-0.359290115","-0.253771089","-0.3336733342"," 0.407059223","-1.756150597"," 0.9715168052"," 1.417612860"," 1.519687665"," 1.45160380"," 0.55020023"," 1.428733371","-0.280900423","-1.41894665"," 1.17588474"
"I465"," 12.73346"," -4.078231842","  0.6276123","-5.67028252"," 1.596803074","-1.969282957","-1.544192514"," 0.564512366"," 4.75077763","-2.925473932"," 2.032449544"," 0.044041148"," 2.812427462"," 0.843466828"," 2.00612706"," 6.190985694"," 2.851792060","-1.026739338","-3.128166288","  1.596613125"," 1.1947915936"," 0.616738204"," 2.007542789","-2.057396727"," -0.59978137"," 3.945484793"," 2.754163718","-0.088378872"," 2.111359890"," 1.206389218"," 1.64806122"," 0.08140892"," 0.82977490"," 1.05070250"," 1.558722556"," 0.488348589","-0.205427897","-1.3771556958"," 0.05874607"," 0.14379566","-0.11351965","-0.9297077048"," 1.054664384","-0.180089708","-0.74310683","-1.138486520"," 1.657129625","-0.801228335"," 0.5399133865","-1.989480226","-0.593942295","-1.6410309840"," 0.438582128"," 0.293003084"," 0.75020538"," 0.11536203","-0.456854750"," 0.308906400","-0.48526336"," 0.72271766"
"I570"," 13.27698"," -1.060160614","-11.4408751"," 0.17822507"," 2.361777030"," 1.725433868"," 0.932163885","-2.474574868","-1.09889367"," 2.085804671","-0.471014089"," 1.124884556","-0.835606915","-0.897404379","-0.21956130"," 0.846435486","-0.112837728","-0.331876783","-0.149523090"," -1.387728386"," 0.2202633387","-0.258325172","-1.150025912"," 1.886019919"," -1.41081928"," 0.942697084"," 0.270827753"," 0.954963475","-0.649103552"," 0.630969571"," 1.11352331"," 0.28009033","-0.85379787"," 0.94383861","-0.876683622","-0.738616743"," 0.912005535"," 2.9532748264","-0.55464274"," 0.86834045"," 0.69613906","-0.8759108570"," 1.610285064"," 1.338723389","-0.85259626","-1.204075410"," 0.265296394"," 2.126627805","-0.7901804299","-0.604545494"," 0.002027612","-0.7159082532","-0.554815796"," 1.338895355","-1.14702680","-0.08514323"," 0.517463103"," 0.235164250","-0.76069687","-0.12370586"
"I441","-14.95784"," -3.839192897"," -5.7425874"," 5.06286213"," 3.143944055"," 2.377535956"," 0.775090365","-0.547225903"," 2.75544644"," 1.844780086","-3.289539288"," 5.273982744","-0.075667531","-0.770861944","-0.70503679","-1.813742117","-0.272390526"," 0.709301208","-2.348731534","  0.393141823","-0.6922299222"," 0.955083378","-0.912783183"," 0.044010407","  0.36654661"," 0.633109006"," 0.543531563","-0.362643390"," 1.608078187","-1.134998268","-0.62839451"," 0.48022089"," 0.46216384","-1.45902419"," 0.773619459"," 0.056876134","-0.642413319"," 0.0448096254","-1.32143338","-0.18804759"," 1.09782208"," 0.6567548016","-0.010323406","-0.303251545","-2.07655108"," 1.507800897","-0.384042967"," 0.151437171","-1.5809175678"," 0.001795412"," 0.954324860","-0.2780579190"," 0.822976751","-0.737868393"," 1.04537988","-1.41411496","-0.429882092"," 0.144708011","-1.31169087"," 1.14100246"
"I222"," 13.93730","  2.648467811","  4.7542434","-3.28727035"," 6.710698804"," 5.414942857"," 1.601490803"," 4.888156639","-2.68016071","-3.559932482"," 1.097852116"," 3.246117581"," 3.671047665"," 2.321167879"," 7.95042612"," 1.662259369","11.004244291"," 1.008364510"," 8.141111626","-10.124025425"," 0.9529418863"," 0.173423119","-9.763420451","-3.818178633","  3.52946930","-2.037027777"," 0.383317272"," 7.359690519","-0.474717767","-0.790798488","-0.29416010"," 5.03270647","-4.29066303","-2.04172491"," 1.388136641"," 1.589461312","-4.478804787"," 2.0952918554","-0.12610601","-0.21354555"," 0.78993593"," 1.7415396294","-2.690174921"," 0.471567002","-0.03295534","-0.412907048","-0.771688777"," 1.520992482","-1.3667398130"," 0.054536784","-0.394193570"," 0.9563327930","-0.308712546","-0.875111752","-0.08722780","-0.83037866"," 0.040798117","-2.024480357"," 0.37342541","-1.18762549"
